timestamp,open,high,low,close,volume
2024-09-23 19:55:00,220.4000,220.4900,220.4000,220.4700,278
2024-09-23 19:45:00,220.4000,220.4000,220.2500,220.2500,24
2024-09-23 19:35:00,220.4700,220.4900,220.3200,220.3200,126
2024-09-23 19:30:00,220.4800,220.4800,220.4000,220.4000,14
2024-09-23 19:25:00,220.4000,220.4045,220.4000,220.4045,7
2024-09-23 19:20:00,220.4400,220.4855,220.4012,220.4012,53
2024-09-23 19:15:00,220.4500,220.4500,220.4500,220.4500,50
2024-09-23 19:10:00,220.4800,220.4800,220.4800,220.4800,50
2024-09-23 19:05:00,220.2500,220.2500,220.2500,220.2500,5
2024-09-23 19:00:00,220.5000,220.5000,220.2620,220.2620,657849
2024-09-23 18:55:00,220.3300,220.4900,220.3300,220.4900,61
2024-09-23 18:50:00,220.3200,220.3300,220.3200,220.3300,100
2024-09-23 18:45:00,220.4000,220.4000,220.3300,220.3300,220
2024-09-23 18:40:00,220.5000,220.5000,220.4100,220.4100,200
2024-09-23 18:35:00,220.4600,220.5000,220.2500,220.5000,67
2024-09-23 18:30:00,220.5000,220.5000,220.4300,220.5000,657809
2024-09-23 18:25:00,220.4200,220.4200,220.4200,220.4200,9
2024-09-23 18:20:00,220.3202,220.3202,220.3202,220.3202,1
2024-09-23 18:15:00,220.4300,220.4500,220.3100,220.3100,25
2024-09-23 18:10:00,220.5000,220.5000,220.4300,220.4300,106
2024-09-23 18:05:00,220.2500,220.2720,220.2500,220.2720,40
2024-09-23 18:00:00,220.4300,220.4300,220.4300,220.4300,10
2024-09-23 17:55:00,220.2500,220.3100,220.2500,220.3100,7
2024-09-23 17:45:00,220.5000,220.5000,220.5000,220.5000,5
2024-09-23 17:40:00,220.4937,220.5000,220.3400,220.3400,18
2024-09-23 17:35:00,220.3300,220.3300,220.3200,220.3200,51
2024-09-23 17:30:00,220.3000,220.4500,220.3000,220.4500,111
2024-09-23 17:25:00,220.2600,220.2600,220.2600,220.2600,5
2024-09-23 17:20:00,220.2625,220.2625,220.2625,220.2625,5
2024-09-23 17:15:00,220.5000,220.5000,220.5000,220.5000,142191
2024-09-23 17:10:00,220.4900,220.4900,220.3200,220.3200,12
2024-09-23 17:05:00,220.2600,220.3200,220.2600,220.3200,2
2024-09-23 17:00:00,220.6900,220.6900,220.4000,220.4700,163
2024-09-23 16:55:00,220.5000,220.5000,220.4000,220.4000,32
2024-09-23 16:50:00,220.5000,220.5000,220.5000,220.5000,1
2024-09-23 16:45:00,220.4900,220.5000,220.4900,220.5000,665
